id,uuid,observed_on,year,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,year-1,birdObservations,city
2765688,5c9e7a46-2195-40e4-8b3f-b9954da221a8,3/10/2016,2016,2016-03-10 20:16:36 UTC,Central Time (US & Canada),90526,nanofishology,Kai Joaquin,2016-03-10 20:17:12 UTC,2016-06-25 11:27:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2765688,https://inaturalist-open-data.s3.amazonaws.com/photos/3130777/medium.jpg,,,,2,0,False,3,"Lincoln Park, Chicago, IL, US",41.921086667,-87.633133333,,,,,27723,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2016,1213,Chicago
3622298,2a10985b-c366-40e6-a1da-5f470400749d,7/4/2016,2016,,Central Time (US & Canada),9706,greglasley,Greg Lasley,2016-07-04 22:08:01 UTC,2016-07-05 14:47:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3622298,https://inaturalist-open-data.s3.amazonaws.com/photos/4182034/medium.jpg,,,,5,0,False,,"Lincoln Park Zoo, Chicago, IL",41.921162,-87.634962,100,,,,100,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2016,1213,Chicago
3667844,10552a45-a1ba-4246-8663-eac27ffd2ecd,7/6/2016,2016,2016-07-07 02:53:00 UTC,Hawaii,79343,joelle,Joelle Belmonte,2016-07-12 19:11:04 UTC,2020-04-22 13:26:58 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3667844,https://inaturalist-open-data.s3.amazonaws.com/photos/4246917/medium.JPG,,,,3,0,False,,Montrose Point Bird Sanctuary,41.964276811,-87.632896900,62,,,,62,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2016,1213,Chicago
3880143,58576f6d-6e5a-408f-8b14-3fed4d49049a,3/20/2016,2016,2016-03-20 18:54:00 UTC,Central Time (US & Canada),302893,mothsperhour,,2016-08-14 01:51:06 UTC,2021-01-11 13:57:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3880143,https://inaturalist-open-data.s3.amazonaws.com/photos/4551768/medium.jpeg,,,,1,0,False,,"North Side, Chicago, IL, USA",41.970283618,-87.701974499,43,,,,43,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2016,1213,Chicago
3974678,0b0df750-a990-4b77-b3fb-0944a9ded9ca,4/22/2016,2016,,Central Time (US & Canada),144442,andriy,,2016-08-27 19:32:05 UTC,2020-04-22 13:26:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3974678,https://inaturalist-open-data.s3.amazonaws.com/photos/4688165/medium.jpeg,,,,2,0,False,,"Montrose Point, Chicago",41.965361,-87.632828,,,,,,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2016,1213,Chicago
4617106,0732973a-aa12-4ad2-a152-697f3e2efbfc,5/18/2015,2015,2015-05-18 14:52:00 UTC,Central Time (US & Canada),257635,skrentnyjeff,Jeff Skrentny,2016-11-22 20:39:19 UTC,2017-01-11 04:31:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4617106,https://inaturalist-open-data.s3.amazonaws.com/photos/5585592/medium.jpg,,,Common Grackle (Quiscalus quiscula) LaBagh Woods Chicago Cook County IL May 2015 Jeff Skrentny IMG_6988,2,0,False,,"LaBagh Woods, North Park, Chicago, IL, USA",41.979017624,-87.740163803,65,,,,65,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2015,521,Chicago
4783409,ccddb66a-4fab-4cb1-9941-b77b04162200,4/23/2016,2016,2016-04-23 21:16:00 UTC,Central Time (US & Canada),381291,timidlittleturtle,Caroline S.,2016-12-16 21:17:17 UTC,2020-04-22 13:23:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4783409,https://inaturalist-open-data.s3.amazonaws.com/photos/5827903/medium.jpeg,,,,2,0,False,,"Montrose Point Bird Sanctuary, Chicago, IL, United States",41.9631998,-87.6331366,,,,,,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2016,1213,Chicago
5092640,fae8b426-d82d-4049-9ce6-e8a6926aa107,6/29/2016,2016,2016-06-29 16:55:00 UTC,Central Time (US & Canada),144442,andriy,,2017-02-12 01:36:29 UTC,2020-04-22 13:23:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5092640,https://inaturalist-open-data.s3.amazonaws.com/photos/6256558/medium.jpeg,,,,2,0,False,,"Montrose Point Bird Sanctuary, Chicago, IL, United States",41.9631998,-87.6331366,,,,,,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2016,1213,Chicago
5274719,50b9c585-43fe-4268-bbee-57b83871964e,3/10/2017,2017,2017-03-10 18:46:55 UTC,Central Time (US & Canada),420896,brendanobot,Brendan O'Handley,2017-03-10 18:47:57 UTC,2017-03-11 04:34:32 UTC,research,,https://www.inaturalist.org/observations/5274719,https://static.inaturalist.org/photos/6519812/medium.jpeg,,,,2,0,False,2,"2430 North Cannon Drive Chicago, IL 60614",41.926817924,-87.635245174,2064,,,,2064,,open,False,gps,gps,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2017,2958,Chicago
5389918,f1af1352-9de9-4f34-b2a6-1021fd8f3cb2,3/9/2017,2017,2017-03-09 15:01:00 UTC,Central Time (US & Canada),257635,skrentnyjeff,Jeff Skrentny,2017-03-18 18:48:19 UTC,2017-03-18 19:00:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5389918,https://inaturalist-open-data.s3.amazonaws.com/photos/6620542/medium.jpeg,,,Common Grackles (Quiscalus quiscula) Monticello Manor Chicago Cook County IL March 2017 IMG_2199,1,0,False,,"Monticello Manor, Irving Park, Chicago, IL, USA",41.957134506,-87.719693854,3,,,,3,,open,False,,,Common Grackle,Quiscalus quiscula,Common Grackle,Aves,9602,2017,2958,Chicago
